Galaxy,V_inf,L_e,chi2_red
UGC08699,146.3649182682991,2.776093320483001,1.632032666415772
UGC07559,33.21885939405829,1.8821996653777515,0.08711120874705242
UGC02023,499.99999999999955,40.34362780909802,0.06523316389136839
NGC4068,173.3525643112158,12.035635661599475,0.2141494093368147
F563-V2,116.80317434158275,2.6233100847757393,0.17865658054452158
F563-1,105.40584788051557,3.64014292432145,0.4840093012797716
NGC2915,82.64912964664092,1.8424197378247433,0.5606640146947858
F583-4,59.30307942622039,2.1376476924237284,0.40983653457633124
UGC07524,72.942858837152,3.381775877070427,0.28789643985932256
UGCA281,28.232913176437464,0.5327503620276884,0.12238490007300462
NGC4559,107.60598565394808,6.589668948599608,0.29282162434030873
UGC05999,97.72834725404873,7.387851115786596,0.8682971681119119
UGC03580,125.6846337614719,10.237411445874043,20.68583897724341
UGC05414,62.33681606597014,2.958215159376436,0.11683055543009521
UGC07089,77.00397115049812,5.94488240433801,0.1790529487379749
UGC08550,52.41765720275951,1.0985998915051722,0.568346757340506
UGC09992,24.610357657092848,0.2616894047490304,0.0071730238935475525
UGC08490,73.59607418748372,0.9611291798644805,0.2189594412646915
ESO563-G021,283.2184408442621,8.209632799157644,9.041574606320856
NGC2955,196.18404288271063,13.585345991817599,4.552146728736466
NGC0100,89.88204493386463,4.4693873604439895,0.07246889285752489
UGC05716,68.46794058635376,2.950289918102633,3.60787067172107
NGC7793,81.84743791851407,1.732733885807511,1.0425457381464585
NGC7331,234.70456536916387,23.81180972645545,3.9658980499519223
UGC02885,251.6550212394491,13.004067517441644,4.00491208663636
NGC5033,180.31256731260933,5.5479609884568495,5.634663528947956
F567-2,45.10451590079271,2.3983912319585587,0.4439087302392844
DDO168,69.91365961609696,3.4846557360162755,3.9385731887358855
NGC0289,149.1513856911275,6.156672564626115,2.0329075729117645
UGC06930,93.2618613241815,3.137384850107843,0.09110653435098275
NGC2366,50.64169688403534,2.500906276398522,0.8185238554960629
NGC4138,127.93900126197467,2.0735943152716914,1.0050717002714287
NGC6946,131.72767518461006,6.0435461546945755,1.7508931330778694
UGC02487,300.7863658794772,1.282380612993393,9.936996928273215
UGC09133,201.6101666949961,8.126147308521773,6.674382300312695
UGC04499,66.83630410071481,2.8277909275906516,0.21962219540479996
NGC0247,78.1524316128028,2.6803356145931483,3.554968867796154
NGC4214,72.39883206255632,0.6688084328164643,1.4479447435354855
NGC6503,106.574085297523,3.575072956193003,1.3685430021098886
NGC2683,140.63705393534838,2.5824990278642384,1.0584936489167627
F568-V1,113.5169088065945,2.689737225850886,0.07544403904004936
UGC07125,52.721211240530266,4.361012367378265,0.31132075906195916
F571-V1,82.75860826624103,5.153939392133194,0.0272318847332767
UGC04305,15.829676832868678,0.6979934479162007,1.8387956482645706
D564-8,28.112117973114483,2.0058547452288744,0.042537418580136925
NGC5907,175.12629442575863,2.3517310027318334,3.7354437963636355
UGC04278,108.04733900697485,5.794659368333993,0.7145123522350442
UGC11820,76.66518759217801,5.541909360604693,7.369069090895281
UGC04483,21.988440733898578,0.5110631070389914,0.23524790219477834
UGC07151,62.834458264798485,1.457887946608127,0.7871725507195033
UGC02916,197.3328173133837,13.139828044964242,33.16052548986468
F574-2,13.429405595554627,3.763081061007333,0.037676018198221604
NGC3877,103.61988625330196,2.4112636174246216,4.367363311212345
UGC07261,64.35921046171923,1.2094239100091386,0.2034589117086838
UGC06628,19.072419319871866,0.010000000000001029,0.33754185990217345
NGC6015,127.12994034144651,1.9596775826134272,7.116833741188794
UGC11455,219.8774372964889,12.727237390290318,3.0521261674993068
UGC05005,97.828991106217,10.03994300165669,0.02022674256367993
DDO064,52.15308511229701,1.799856624801868,0.3436941325048668
UGC00191,71.78112871120781,1.7445236213961925,1.7249977858536651
NGC3769,109.44948377237694,5.626585305739261,0.5724708843051189
NGC4183,94.98505458334775,2.653225770423775,0.15653731075064303
NGC4088,499.9999999932406,86.0920366613181,1.0309735296769225
NGC7814,188.56583348903985,5.5288607182552285,0.6916062499499716
UGC01230,97.63902189938953,3.1837944718630298,0.4809437077607767
UGC06923,80.3575961418337,3.242119205787143,0.4478882019983821
NGC2998,169.1207796499073,1.5993778591635253,3.1777946629437426
NGC3726,137.48844704390982,11.478622153639318,2.36896146218968
UGC09037,175.22943528218016,23.35709816020614,4.108356085956655
UGC11557,140.28794536126284,25.9096788993999,1.0657039684164487
UGC00731,65.19099238047978,2.031033698331934,0.3739801928364824
UGC12632,65.70054800057325,2.5704744889332374,0.060629194357412576
UGC10310,64.42011948764979,1.984079483242104,0.13000188718007563
NGC5585,89.10704665783462,4.226129548882162,5.262497113462836
DDO170,56.72532595947331,3.809654245985356,1.2890967858525477
ESO116-G012,107.4833331811942,3.443414012468107,0.8836071280306304
UGC07608,73.26000188436248,2.768341293716109,0.06824054663853191
UGC05829,57.57390229027889,2.991300891545242,0.23856811531178382
UGC07603,63.2628593211655,1.4515373917890055,0.17625198564881658
UGC12506,207.3192266673068,2.532507082283041,0.37375715948741095
NGC2903,164.15013346251507,6.339859525850381,10.058781477702079
NGC3741,50.56587594385283,2.507795771690062,1.3432644599592987
F568-1,130.57476752385634,3.6900394613060428,0.069512637519453
UGC06973,499.9999999963903,40.3792318878215,83.66948872994787
UGC08286,77.81917956520628,1.4982732625208486,0.5756932889473447
UGCA444,32.87997870185679,1.1437771249167636,0.24478509928404033
NGC5371,127.32639210831533,0.010000000000671819,4.982112660945366
UGC06399,85.59000127678901,3.314020896785997,0.03974193209263686
DDO161,67.80218979573003,7.098673567856263,0.2716631954408082
UGC08837,437.6019543947533,45.51874631018618,0.35098884067425207
NGC5985,249.68423949606324,2.769030141284343,1.9035182999107936
UGC06787,216.23386761066047,5.899797987518011,25.358741832693088
UGC05750,76.91355162746932,7.017759644365819,0.10698010005562024
NGC6674,211.47265332868756,0.010000000373237792,6.654418869763417
NGC4100,146.56273989032678,2.9158901796802006,0.946607071777828
UGC11914,183.82292247644517,0.8771971257382584,4.615694957919747
DDO154,50.29574753160942,2.551897109269186,1.2697328614811372
NGC1003,105.77678292067023,7.854295151785365,4.761009588612462
UGC00891,71.52606164029586,5.044607531743662,0.1603972748259868
NGC2403,116.0197729478053,3.1355642894133937,19.578384452873298
UGC05764,53.39693113501668,0.9122072627795366,3.1549752207713135
UGC07690,48.56954940469562,0.5908489286451308,0.25777540151428063
CamB,499.9999999983494,84.80422503511795,4.503482128183998
UGC03546,164.95936737738933,7.771936636942689,2.3895237976308055
NGC2841,252.82436288325633,3.0103577709687994,1.4891159490082526
D631-7,80.86373320502663,6.589856598780226,0.8766496934705594
F579-V1,97.62373538106712,1.117927216252606,0.014437661460476323
F583-1,83.71552962356074,4.276770751927212,0.18929487432614414
NGC4389,10.000000000009813,99.99999999999405,20.960929323938633
NGC3972,116.19578070488393,3.5778134677086197,0.7531907047571526
NGC1090,134.03679914166537,5.615437393437774,1.3698838139528022
F571-8,170.67054061452393,9.20274071763891,10.346004480128668
